2528, 4909.382074360302
3195, 4884.63469010948
195, 4478.9915027150855
1941, 4335.61690114084
196, 4256.950169961723
3311, 4103.953953837577
2726, 4044.9979720479414
3258, 3898.304742491501
1114, 3851.892307087251
2456, 3654.4054456290123
3254, 3608.5914657790076
2597, 3582.240531623219
497, 3498.578967493022
3313, 3413.3756289831695
3442, 3322.4900451813965
55, 3273.691058189121
2397, 3264.8198446592237
3136, 3192.9319869774404
2475, 3155.4551204258505
472, 3110.967222682895
1967, 3108.130297172688
2673, 3012.1885944182013
2568, 2934.77640733182
3288, 2933.4368362771115
2623, 2915.346158819752
2612, 2890.4488624678484
3094, 2883.4440812293765
3005, 2881.0864299480513
3201, 2816.664349423079
2605, 2801.4435119178956
2809, 2778.0496785577
2485, 2771.151598671381
2496, 2768.78909623939
2778, 2761.970406128213
3097, 2760.6524494816726
1649, 2739.141948748732
508, 2736.43170295189
3323, 2716.1419823443925
3296, 2701.7275121922257
138, 2683.250953526103
1751, 2649.7191731919997
2453, 2642.370597549821
2616, 2642.337218533512
474, 2637.8445361308754
337, 2624.1867953658702
3262, 2608.055125310993
15, 2590.9150732414446
2531, 2587.069561724404
3160, 2581.556541270182
1704, 2580.4970863705594
2821, 2578.528700692991
3295, 2563.8868110928634
2822, 2538.5846187441657
218, 2535.2336694130277
2687, 2505.416822042643
2484, 2491.2983186658785
1702, 2489.4880580890444
405, 2471.545386789626
1045, 2452.539436155729
3091, 2447.8925722301583
2543, 2446.3391744837177
1727, 2446.206268903905
3112, 2438.6240616617156
3113, 2437.655908393791
287, 2407.374859695548
3193, 2405.4684406567926
2527, 2404.9983225152746
2519, 2404.427141678002
2580, 2395.603927861202
3261, 2395.0757410429937
1960, 2387.5301425913194
2738, 2385.9479517027407
20, 2378.8205667919196
149, 2378.4600195420185
2455, 2371.7014467510626
3316, 2370.1379064763614
2486, 2360.358750940897
38, 2359.086258469217
1679, 2352.9760118548807
2094, 2334.2776854869603
1530, 2317.0347311665805
3265, 2278.667542219521
3007, 2262.704109072659
1728, 2251.8626843838715
2538, 2250.984502302797
2692, 2238.9518042452282
3362, 2234.6292831260535
3180, 2223.2141713117903
2655, 2216.927829972763
2498, 2214.3695921035664
1633, 2213.973350086331
1648, 2212.19228585673
2493, 2202.4579828810556
2464, 2193.512943926744
2635, 2188.6998933641735
2679, 2177.1230176500762
2087, 2169.6972644943953
1047, 2161.4399896194127
647, 2150.8925672393248
1745, 2140.7538295988375
1657, 2116.020708821285
2451, 2115.6392897284736
2462, 2109.1111574446404
2575, 2105.2401013125814
2449, 2098.3028328010964
3251, 2095.7723439427355
3099, 2094.8180578457923
21, 2088.2378664211615
2608, 2082.3283816956246
2707, 2073.108904938735
2572, 2073.107041598991
2869, 2054.2066486499193
1873, 2046.8942740276843
2654, 2035.4452976995299
1691, 2030.7677879949204
1028, 2030.0002754569641
2704, 2028.0542970164863
2466, 2025.5917840416123
2695, 2013.0528841304194
386, 2006.5424148604318
2461, 2006.1070955738992
2522, 1996.4859733433711
3344, 1982.2643479930791
3207, 1981.2067649194923
3111, 1977.92201330898
1636, 1971.7205110089276
2629, 1970.3023228901013
2727, 1969.9044955630413
2604, 1969.095794916353
2626, 1956.6416004623184
3383, 1956.0268383759158
1652, 1953.6706473476752
2959, 1947.3655016405705
3329, 1947.1962497850377
2581, 1946.4059477346664
2586, 1942.2473155229825
2492, 1940.6734767595146
1891, 1940.3895255116738
212, 1925.0375265661264
1650, 1924.7023876036972
3347, 1922.3071212310538
2675, 1913.3941078489008
1699, 1910.321592483466
16, 1908.971060801968
2533, 1907.9543483096832
127, 1897.05316799324
2564, 1876.7454739236823
2657, 1872.5044226910268
2563, 1868.2095763176787
1635, 1865.3485784865686
2111, 1864.4491834673247
2096, 1864.4491834673247
2980, 1856.030212076314
2511, 1846.4919770056108
1750, 1846.4265208509194
2561, 1844.0278044317865
1463, 1843.7858111489957
2534, 1833.6568911142135
1724, 1830.4157484908962
2506, 1828.406064861481
396, 1825.9489589534235
2648, 1823.9322469158933
3364, 1823.7485958280665
